rank,repo_name,forks,stars,language,repo_url,description,id,last_commit
87,esp-idf,6318,10232,C,https://github.com/espressif/esp-idf,Espressif IoT Development Framework. Official development framework for Espressif SoCs.,MDEwOlJlcG9zaXRvcnk2NTg5OTQ3Ng==,2023-03-28T07:30:31Z
88,DOOM,1758,10121,C,https://github.com/id-Software/DOOM,DOOM Open Source Release,MDEwOlJlcG9zaXRvcnkzMzE5MDQw,2022-10-12T05:22:35Z
89,sumatrapdf,1522,9980,C,https://github.com/sumatrapdfreader/sumatrapdf,SumatraPDF reader,MDEwOlJlcG9zaXRvcnk2MDQxMzAx,2023-03-27T17:28:46Z
90,SoftEtherVPN,2377,9927,C,https://github.com/SoftEtherVPN/SoftEtherVPN,Cross-platform multi-protocol VPN software. Pull requests are welcome. The stable version is available at https://github.com/SoftEtherVPN/SoftEtherVPN_Stable.,MDEwOlJlcG9zaXRvcnkxNTU4MzMxMA==,2023-03-15T12:32:09Z
91,Tinyhttpd,3753,9686,C,https://github.com/EZLippi/Tinyhttpd,Tinyhttpd 是J. David Blackstone在1999年写的一个不到 500 行的超轻量型 Http Server，用来学习非常不错，可以帮助我们真正理解服务器程序的本质。官网:http://tinyhttpd.sourceforge.net,MDEwOlJlcG9zaXRvcnkzNTkzMDgwNQ==,2023-02-16T07:31:21Z
92,libevent,3210,9679,C,https://github.com/libevent/libevent,Event notification library,MDEwOlJlcG9zaXRvcnkxODU2OTc2,2023-03-26T20:35:00Z
93,Craft,1301,9650,C,https://github.com/fogleman/Craft,A simple Minecraft clone written in C using modern OpenGL (shaders).,MDEwOlJlcG9zaXRvcnk5MzMwMDcy,2023-01-06T19:06:10Z
94,linux,4453,9625,C,https://github.com/raspberrypi/linux,Kernel source tree for Raspberry Pi-provided kernel builds. Issues unrelated to the linux kernel should be posted on the community forum at https://forums.raspberrypi.com/,MDEwOlJlcG9zaXRvcnkzMTk5MDAy,2023-03-28T12:47:38Z
95,phpredis,2125,9624,C,https://github.com/phpredis/phpredis,A PHP extension for Redis,MDEwOlJlcG9zaXRvcnkxNDgyOTk3,2023-03-23T21:43:33Z
96,wcdb,1299,9606,C,https://github.com/Tencent/wcdb,WCDB is a cross-platform database framework developed by WeChat.,MDEwOlJlcG9zaXRvcnk5MDk2MTYzNA==,2023-03-28T12:15:49Z
97,sanitizers,927,9482,C,https://github.com/google/sanitizers,"AddressSanitizer, ThreadSanitizer, MemorySanitizer",MDEwOlJlcG9zaXRvcnkyMzY0MTgxNg==,2023-03-10T13:27:26Z
98,redis-3.0-annotated,4115,9393,C,https://github.com/huangz1990/redis-3.0-annotated,带有详细注释的 Redis 3.0 代码（annotated Redis 3.0 source code）。,MDEwOlJlcG9zaXRvcnkyMTI5NDYwMA==,2023-03-18T02:03:40Z
99,Sandboxie,994,9334,C,https://github.com/sandboxie-plus/Sandboxie,Sandboxie Plus & Classic,MDEwOlJlcG9zaXRvcnkyNTQzMjcyNjE=,2023-03-28T09:42:03Z
100,mongoose,2517,9298,C,https://github.com/cesanta/mongoose,Embedded Web Server,MDEwOlJlcG9zaXRvcnk1NDE0NDg4,2023-03-27T21:20:47Z
101,Dummy-Robot,2072,9230,C,https://github.com/peng-zhihui/Dummy-Robot,我的超迷你机械臂机器人项目。,R_kgDOGLXz-Q,2023-01-04T01:24:20Z
102,audacity,2024,9152,C,https://github.com/audacity/audacity,Audio Editor                                     ,MDEwOlJlcG9zaXRvcnkzMjkyMTczNg==,2023-03-27T21:21:50Z
103,coturn,1782,8972,C,https://github.com/coturn/coturn,coturn TURN server project,MDEwOlJlcG9zaXRvcnkzOTI0Mjg5NA==,2023-03-25T04:21:48Z
104,libgit2,2322,8951,C,https://github.com/libgit2/libgit2,"A cross-platform, linkable library implementation of Git that you can use in your application.",MDEwOlJlcG9zaXRvcnk5MDE2NjI=,2023-03-27T21:54:34Z
105,zfs,1583,8831,C,https://github.com/openzfs/zfs,OpenZFS on Linux and FreeBSD,MDEwOlJlcG9zaXRvcnk0MzcwMTE=,2023-03-28T12:25:57Z
106,torch7,2390,8804,C,https://github.com/torch/torch7,http://torch.ch,MDEwOlJlcG9zaXRvcnkxMzY3NzE4Nw==,2022-10-26T03:55:13Z
107,ImageMagick,1153,8723,C,https://github.com/ImageMagick/ImageMagick,🧙‍♂️ ImageMagick 7,MDEwOlJlcG9zaXRvcnkzNTc4MDk3Nw==,2023-03-27T00:02:13Z
108,toxcore,1290,8705,C,https://github.com/irungentoo/toxcore,The future of online communications.,MDEwOlJlcG9zaXRvcnkxMDg5NDcxNg==,2023-03-03T21:04:44Z
109,systeminformer,1193,8649,C,https://github.com/winsiderss/systeminformer,"A free, powerful, multi-purpose tool that helps you monitor system resources, debug software and detect malware. Brought to you by Winsider Seminars & Solutions, Inc. @ http://www.windows-internals.com",MDEwOlJlcG9zaXRvcnk1MDgyNDQ4NQ==,2023-03-24T00:50:22Z
110,ffmpeg-libav-tutorial,841,8637,C,https://github.com/leandromoreira/ffmpeg-libav-tutorial,"FFmpeg libav tutorial - learn how media works from basic to transmuxing, transcoding and more. Translations: 🇺🇸 🇨🇳 🇰🇷 🇪🇸 🇻🇳",MDEwOlJlcG9zaXRvcnkxMDk3NjI5MDQ=,2023-01-04T23:36:11Z
111,cJSON,2893,8609,C,https://github.com/DaveGamble/cJSON,Ultralightweight JSON parser in ANSI C,MDEwOlJlcG9zaXRvcnk1NDI4MDc3OA==,2023-03-21T02:13:29Z
112,japronto,593,8608,C,https://github.com/squeaky-pl/japronto, Screaming-fast Python 3.5+ HTTP toolkit integrated with pipelining HTTP server based on uvloop and picohttpparser.,MDEwOlJlcG9zaXRvcnk3MjAzOTA3Mg==,2022-08-06T05:22:12Z
113,proxychains-ng,1020,8584,C,https://github.com/rofl0r/proxychains-ng,"proxychains ng (new generation) - a preloader which hooks calls to sockets in dynamically linked programs and redirects it through one or more socks/http proxies. continuation of the unmaintained proxychains project. the sf.net page is currently not updated, use releases from github release page instead.",MDEwOlJlcG9zaXRvcnkyMzIxMDUx,2023-03-20T20:30:09Z
114,fastdfs,1953,8479,C,https://github.com/happyfish100/fastdfs,"FastDFS is an open source high performance distributed file system (DFS). It's major functions include: file storing, file syncing and file accessing, and design for high capacity and load balance. Wechat/Weixin public account (Chinese Language): fastdfs",MDEwOlJlcG9zaXRvcnkxMTE3ODUxMg==,2023-02-15T13:13:14Z
115,GoodbyeDPI,791,8431,C,https://github.com/ValdikSS/GoodbyeDPI,GoodbyeDPI — Deep Packet Inspection circumvention utility (for Windows),MDEwOlJlcG9zaXRvcnk5MTQ5MzA4OA==,2022-08-10T17:20:53Z
116,react-native-code-push,1369,8420,C,https://github.com/microsoft/react-native-code-push,React Native module for CodePush,MDEwOlJlcG9zaXRvcnkzNjc0OTE1Mw==,2023-03-27T03:56:56Z
117,tini,425,8401,C,https://github.com/krallin/tini,A tiny but valid `init` for containers,MDEwOlJlcG9zaXRvcnkzMTQzMjU3Mw==,2023-02-08T17:43:21Z
118,xLua,2376,8320,C,https://github.com/Tencent/xLua,"xLua is a lua programming solution for  C# ( Unity, .Net, Mono) , it supports android, ios, windows, linux, osx, etc.",MDEwOlJlcG9zaXRvcnk3NTgxMTAxNQ==,2023-03-21T06:50:49Z
119,openvpn,2661,8301,C,https://github.com/OpenVPN/openvpn,OpenVPN  is  an open source VPN daemon,MDEwOlJlcG9zaXRvcnk0MTUxOTkz,2023-03-28T07:25:30Z
120,i3,720,8140,C,https://github.com/i3/i3,A tiling window manager for X11,MDEwOlJlcG9zaXRvcnkzMDI5MTA5MA==,2023-03-11T14:22:45Z
121,citus,554,8138,C,https://github.com/citusdata/citus,Distributed PostgreSQL as an extension,MDEwOlJlcG9zaXRvcnk1MDg3NDQ0Mg==,2023-03-28T13:12:14Z
122,rt-thread,4338,8133,C,https://github.com/RT-Thread/rt-thread,RT-Thread is an open source IoT real-time operating system (RTOS).,MDEwOlJlcG9zaXRvcnk3NDA4MTA4,2023-03-28T08:37:23Z
123,cockpit,975,8123,C,https://github.com/cockpit-project/cockpit,Cockpit is a web-based graphical interface for servers.,MDEwOlJlcG9zaXRvcnkxNDA0OTIxNg==,2023-03-28T12:58:35Z
124,db_tutorial,878,8116,C,https://github.com/cstack/db_tutorial,Writing a sqlite clone from scratch in C,MDEwOlJlcG9zaXRvcnkxMDIwMjkxNTA=,2023-03-09T05:23:26Z
125,lz4,1228,8074,C,https://github.com/lz4/lz4,Extremely Fast Compression algorithm,MDEwOlJlcG9zaXRvcnkxODEwNjI2OQ==,2023-03-13T08:34:11Z
126,c4,1306,8064,C,https://github.com/rswier/c4,C in four functions,MDEwOlJlcG9zaXRvcnkyNjE4MTI4Nw==,2022-09-10T02:41:16Z
127,FreeRDP,21998,8037,C,https://github.com/FreeRDP/FreeRDP,FreeRDP is a free remote desktop protocol library and clients,MDEwOlJlcG9zaXRvcnkxOTc5Nzk3,2023-03-28T09:34:52Z
128,blender,1373,8024,C,https://github.com/blender/blender,Official mirror of Blender,MDEwOlJlcG9zaXRvcnkyMTM5MTY4OTY=,2023-03-17T18:37:37Z
