rank,repo_name,forks,stars,language,repo_url,description,id
787,JS-Sorting-Algorithm,1141,4925,Java,https://github.com/hustcc/JS-Sorting-Algorithm,一本关于排序算法的 GitBook 在线书籍 《十大经典排序算法》，多语言实现。,MDEwOlJlcG9zaXRvcnk3OTQ0NzQzMw==
786,android-menudrawer,1140,2613,Java,https://github.com/SimonVT/android-menudrawer,"*DEPRECATED* A slide-out menu implementation, which allows users to navigate between views in your app.",MDEwOlJlcG9zaXRvcnk1NjM5ODAy
788,staffjoy,1140,1792,Java,https://github.com/spring2go/staffjoy,微服务(Microservices)和云原生架构教学案例项目，基于Spring Boot和Kubernetes技术栈,MDEwOlJlcG9zaXRvcnkxOTUwNzc5MzM=
789,KnowStreaming,1138,5929,Java,https://github.com/didi/KnowStreaming,一站式云原生实时流数据平台，通过0侵入、插件化构建企业级Kafka服务，极大降低操作、存储和管理实时流数据门槛,MDEwOlJlcG9zaXRvcnkyNDg0MTYyNzM=
790,NettyRpc,1135,2203,Java,https://github.com/luxiaoxun/NettyRpc,"A simple RPC framework based on Netty, ZooKeeper and Spring",MDEwOlJlcG9zaXRvcnk1Mzc2OTA4MQ==
791,XCL-Charts,1134,3949,Java,https://github.com/xcltapestry/XCL-Charts,"Android图表库(XCL-Charts is a free charting library for Android platform.),基于Android Canvas来绘制各种图表,使用简便,定制灵活。目前支持3D/非3D/背向式/横向/竖向柱形图(Bar Chart)、3D/非3D饼图(Pie Chart)、堆叠图(Stacked Bar Chart)、面积图(Area Chart)、 折线图(Line Chart)、曲线图(Spline Chart)、环形图(Dount Chart)、南丁格尔玫瑰图(Rose Chart)、仪表盘(Dial Chart)、刻度盘(Gauge Chart)、雷达图(Radar Chart)、漏斗图(Funnel Chart)、圆形图(Circle Chart)、弧线比较图、散点图(Scatter Chart)、气泡图(Bubble Chart)、范围条形图(RangeBar Chart)等图表。其它特性还包括支持图表缩放、手势移动、点击响应、动画效果、多轴显示、图表参考线、混合图表及同数据源不同图表类型切换等。",MDEwOlJlcG9zaXRvcnkyMDY1MjA3NA==
793,jOOQ,1133,5359,Java,https://github.com/jOOQ/jOOQ,jOOQ is the best way to write SQL in Java,MDEwOlJlcG9zaXRvcnkxNjI1OTg2
792,techjobs-mvc,1130,4,Java,https://github.com/LaunchCodeEducation/techjobs-mvc,Java / Spring Boot assignment,MDEwOlJlcG9zaXRvcnk4NDU5OTAxMg==
794,jmx_exporter,1129,2576,Java,https://github.com/prometheus/jmx_exporter,A process for exposing JMX Beans via HTTP for Prometheus consumption,MDEwOlJlcG9zaXRvcnkxNzE3MDA0NA==
795,tomcat-redis-session-manager,1129,1785,Java,https://github.com/jcoleman/tomcat-redis-session-manager,Redis-backed non-sticky session store for Apache Tomcat,MDEwOlJlcG9zaXRvcnkyMTU2NTMw
796,small-spring,1128,3819,Java,https://github.com/fuzhengwei/small-spring,🌱《 Spring 手撸专栏》，本专栏以 Spring 源码学习为目的，通过手写简化版 Spring 框架，了解 Spring 核心原理。在手写的过程中会简化 Spring 源码，摘取整体框架中的核心逻辑，简化代码实现过程，保留核心功能，例如：IOC、AOP、Bean生命周期、上下文、作用域、资源处理等内容实现。,MDEwOlJlcG9zaXRvcnkzNjc1NTM3NjE=
797,Android_Blog_Demos,1128,1572,Java,https://github.com/hongyangAndroid/Android_Blog_Demos,source code in blog~,MDEwOlJlcG9zaXRvcnkzNDYwNjQyNw==
800,pixel-dungeon,1126,3240,Java,https://github.com/watabou/pixel-dungeon,Traditional roguelike game with pixel-art graphics and simple interface,MDEwOlJlcG9zaXRvcnkyMjI5MjIzMA==
801,novel-plus,1126,2955,Java,https://github.com/201206030/novel-plus,novel-plus 是一个多端（PC、WAP）阅读 、功能完善的小说 CMS 系统。包括小说推荐、小说检索、小说排行、小说阅读、小说书架、小说评论、小说爬虫、会员中心、作家专区、充值订阅、新闻发布等功能。,MDEwOlJlcG9zaXRvcnkyNjA2MzQ0MTQ=
799,AndroidVideoCache,1126,5173,Java,https://github.com/danikula/AndroidVideoCache,Cache support for any video player with help of single line,MDEwOlJlcG9zaXRvcnkzMzI0MzcyNQ==
798,sofa-rpc,1125,3669,Java,https://github.com/sofastack/sofa-rpc,"SOFARPC is a high-performance, high-extensibility, production-level Java RPC  framework.",MDEwOlJlcG9zaXRvcnkxMjg3MDk4MjQ=
802,toBeBetterJavaer,1124,7465,Java,https://github.com/itwanger/toBeBetterJavaer,一份通俗易懂、风趣幽默的Java学习指南，内容涵盖Java基础、Java并发编程、Java虚拟机、Java企业级开发、Java面试等核心知识点。学Java，就认准二哥的Java进阶之路😄,MDEwOlJlcG9zaXRvcnkxNTY2MjczNjU=
803,janusgraph,1124,4769,Java,https://github.com/JanusGraph/janusgraph,"JanusGraph: an open-source, distributed graph database",MDEwOlJlcG9zaXRvcnk3NzM4NTYwNw==
804,AndroidResideMenu,1119,2860,Java,https://github.com/SpecialCyCi/AndroidResideMenu,The idea of ResideMenu is from Dribbble 1 and 2. It has come true and run in iOS devices. iOS ResideMenu This project is the RefsideMenu Android version. The visual effect is partly referred to iOS version of ResideMenu. And thanks to the authors for the above idea and contribution. ,MDEwOlJlcG9zaXRvcnkxNTE4NzY5OA==
805,Small,1118,5025,Java,https://github.com/wequick/Small,A small framework to split app into small parts,MDEwOlJlcG9zaXRvcnk0Njk3NzEzMA==
806,subsampling-scale-image-view,1118,7517,Java,https://github.com/davemorrissey/subsampling-scale-image-view,"Android library (AAR). Highly configurable, easily extendable deep zoom view for displaying huge images without loss of detail. Perfect for photo galleries, maps, building plans etc.",MDEwOlJlcG9zaXRvcnkxMjM4NDM1Mw==
807,aliyun-openapi-java-sdk,1116,1351,Java,https://github.com/aliyun/aliyun-openapi-java-sdk,Alibaba Cloud SDK for Java,MDEwOlJlcG9zaXRvcnkzOTU1NTg5OA==
808,spring-security-registration,1114,1470,Java,https://github.com/Baeldung/spring-security-registration,"Go further into ""Learn Spring Security"": ",MDEwOlJlcG9zaXRvcnk1Mjk0OTQzNQ==
809,android,1113,3003,Java,https://github.com/cSploit/android,cSploit - The most complete and advanced IT security professional toolkit on Android.,MDEwOlJlcG9zaXRvcnkyNDc4MjkwMg==
810,novel,1109,3711,Java,https://github.com/201206030/novel,novel 是一套基于时下最新 Java 技术栈 Spring Boot 3 + Vue 3 开发的前后端分离学习型小说项目，配备保姆级教程手把手教你从零开始开发上线一套生产级别的 Java 系统，由小说门户系统、作家后台管理系统、平台后台管理系统等多个子系统构成。包括小说推荐、作品检索、小说排行榜、小说阅读、小说评论、会员中心、作家专区、充值订阅、新闻发布等功能。,MDEwOlJlcG9zaXRvcnkyMjA4NzUyNTA=
811,AndPermission,1108,6592,Java,https://github.com/yanzhenjie/AndPermission,:strawberry: Permissions manager for Android platform.,MDEwOlJlcG9zaXRvcnk2NzkxMTY5OA==
812,smile,1108,5697,Java,https://github.com/haifengl/smile,Statistical Machine Intelligence & Learning Engine,MDEwOlJlcG9zaXRvcnkyNjkyMTExNg==
814,h2database,1107,3650,Java,https://github.com/h2database/h2database,H2 is an embeddable RDBMS written in Java.,MDEwOlJlcG9zaXRvcnkzMzc0NTkxMw==
827,Trees-2,1106,3,Java,https://github.com/super30admin/Trees-2,,MDEwOlJlcG9zaXRvcnkxOTgyMjc2MTE=
817,webcam-capture,1105,2108,Java,https://github.com/sarxos/webcam-capture,"The goal of this project is to allow integrated or USB-connected webcams to be accessed directly from Java. Using provided libraries users are able to read camera images and detect motion. Main project consist of several sub projects - the root one, which contains required classes, build-in webcam driver compatible with Windows, Linux and Mac OS, which can stream images as fast as your camera can serve them (up to 50 FPS). Main project can be used standalone, but user is able to replace build-in driver with different one - such as OpenIMAJ, GStreamer, V4L4j, JMF, LTI-CIVIL, FMJ, etc.",MDEwOlJlcG9zaXRvcnk0NDQ5ODMw
818,XPopup,1105,6946,Java,https://github.com/li-xiaojun/XPopup,"🔥XPopup2.0版本重磅来袭，2倍以上性能提升，带来可观的动画性能优化和交互细节的提升！！！功能强大，交互优雅，动画丝滑的通用弹窗！可以替代Dialog，PopupWindow，PopupMenu，BottomSheet，DrawerLayout，Spinner等组件，自带十几种效果良好的动画， 支持完全的UI和动画自定义！(Powerful and Beautiful Popup for Android，can absolutely replace Dialog，PopupWindow，PopupMenu，BottomSheet，DrawerLayout，Spinner. With built-in animators , very easy to custom popup view.)",MDEwOlJlcG9zaXRvcnkxNjA3Nzk5Njk=
816,android-advanced,1105,1079,Java,https://github.com/google-developer-training/android-advanced,Solution apps for the apps that students create as they work through the Advanced Android Development training course created by Google Developer Training.,MDEwOlJlcG9zaXRvcnkxMDU2OTE2NzU=
815,9GAG,1104,2147,Java,https://github.com/stormzhang/9GAG,Android unofficial REST Client of 9GAG.,MDEwOlJlcG9zaXRvcnkxODgyNzIyNQ==
813,java-baseball-precourse,1103,31,Java,https://github.com/next-step/java-baseball-precourse,숫자 야구게임 미션을 위한 저장소,MDEwOlJlcG9zaXRvcnkzMDc1OTQyMjE=
