rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
17,Java,AndroidUtilCode,31971,10563,Java,https://github.com/Blankj/AndroidUtilCode,Blankj,245,2023-03-16T03:31:50Z,:fire: Android developers should collect the following utils(updating).
18,Java,guava,47055,10453,Java,https://github.com/google/guava,google,656,2023-03-24T16:09:01Z,Google core libraries for Java
19,Java,apollo,27891,10098,Java,https://github.com/apolloconfig/apollo,apolloconfig,133,2023-03-27T00:36:49Z,Apollo is a reliable configuration management system suitable for microservice configuration management scenarios.
20,Java,xxl-job,23900,9943,Java,https://github.com/xuxueli/xxl-job,xuxueli,980,2023-03-24T03:10:06Z,A distributed task scheduling framework.（分布式任务调度平台XXL-JOB）
21,Java,maven-project,178,9576,Java,https://github.com/jleetutorial/maven-project,jleetutorial,2,2023-03-04T14:11:29Z,Source code for James Lee's Jenkins course
22,Java,MPAndroidChart,36271,8913,Java,https://github.com/PhilJay/MPAndroidChart,PhilJay,1993,2023-03-20T14:11:45Z,"A powerful 🚀 Android chart view / graph view library, supporting line- bar- pie- radar- bubble- and candlestick charts as well as scaling, panning and animations."
23,Java,time-tracker,4,9191,Java,https://github.com/taylor-training/time-tracker,taylor-training,0,2022-08-17T04:19:18Z,Maven training - time tracker project
24,Java,GitHub-Chinese-Top-Charts,60766,8808,Java,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,GrowingGit,110,2023-03-27T00:15:08Z,:cn: GitHub中文排行榜，各语言分设「软件 | 资料」榜单，精准定位中文好项目。各取所需，高效学习。
25,Java,maven-web-application,60,8637,Java,https://github.com/MithunTechnologiesDevOps/maven-web-application,MithunTechnologiesDevOps,1,2023-03-27T03:03:59Z,
26,Java,druid,26697,8354,Java,https://github.com/alibaba/druid,alibaba,2420,2023-03-26T06:28:23Z,阿里云计算平台DataWorks(https://help.aliyun.com/document_detail/137663.html) 团队出品，为监控而生的数据库连接池
27,Java,mall-learning,11859,8176,Java,https://github.com/macrozheng/mall-learning,macrozheng,16,2023-02-28T02:40:08Z,mall学习教程，架构、业务、技术要点全方位解析。mall项目（50k+star）是一套电商系统，使用现阶段主流技术实现。涵盖了SpringBoot 2.3.0、MyBatis 3.4.6、Elasticsearch 7.6.2、RabbitMQ 3.7.15、Redis 5.0、MongoDB 4.2.5、Mysql5.7等技术，采用Docker容器化部署。
28,Java,SpringCloudLearning,17206,8082,Java,https://github.com/forezp/SpringCloudLearning,forezp,38,2021-04-12T09:53:47Z,《史上最简单的Spring Cloud教程源码》
29,Java,jenkins,20499,7971,Java,https://github.com/jenkinsci/jenkins,jenkinsci,0,2023-03-27T10:14:56Z,Jenkins automation server
30,Java,ud839_Miwok,698,7768,Java,https://github.com/udacity/ud839_Miwok,udacity,0,2022-12-14T21:38:28Z,
31,Java,spring-cloud-alibaba,25144,7692,Java,https://github.com/alibaba/spring-cloud-alibaba,alibaba,403,2023-03-27T01:52:15Z,Spring Cloud Alibaba provides a one-stop solution for application development for the distributed solutions of Alibaba middleware.
32,Java,RxJava,46881,7670,Java,https://github.com/ReactiveX/RxJava,ReactiveX,15,2023-03-27T04:58:23Z,RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.
33,Java,SpringAll,25251,7562,Java,https://github.com/wuyouzhuguli/SpringAll,wuyouzhuguli,15,2022-10-31T09:56:20Z,循序渐进，学习Spring Boot、Spring Boot & Shiro、Spring Batch、Spring Cloud、Spring Cloud Alibaba、Spring Security & Spring Security OAuth2，博客Spring系列源码：https://mrbird.cc
34,Java,DSA-Bootcamp-Java,11165,7537,Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,kunal-kushwaha,60,2023-03-27T07:17:14Z,"This repository consists of the code samples, assignments, and notes for the Java Data Structures & Algorithms bootcamp of Community Classroom."
35,Java,Sentinel,20734,7522,Java,https://github.com/alibaba/Sentinel,alibaba,514,2023-03-24T00:55:23Z,"A powerful flow control component enabling reliability, resilience and monitoring for microservices. (面向云原生微服务的高可用流控防护组件)"
36,Java,zheng,16463,7458,Java,https://github.com/shuzheng/zheng,shuzheng,35,2022-12-16T09:53:00Z,基于Spring+SpringMVC+Mybatis分布式敏捷开发系统架构，提供整套公共微服务服务模块：集中权限管理（单点登录）、内容管理、支付中心、用户管理（支持第三方登录）、微信平台、存储系统、配置中心、日志分析、任务和通知等，支持服务治理、监控和追踪，努力为中小型企业打造全方位J2EE企业级开发解决方案。
37,Java,retrofit,41318,7252,Java,https://github.com/square/retrofit,square,147,2023-03-26T20:06:14Z,A type-safe HTTP client for Android and the JVM
38,Java,canal,25342,7172,Java,https://github.com/alibaba/canal,alibaba,894,2023-03-23T05:46:10Z,阿里巴巴 MySQL binlog 增量订阅&消费组件 
39,Java,Arduino,13473,7080,Java,https://github.com/arduino/Arduino,arduino,657,2022-10-29T19:36:35Z,Arduino IDE 1.x
40,Java,hutool,25776,7022,Java,https://github.com/dromara/hutool,dromara,2,2023-03-27T11:50:44Z,🍬A set of tools that keep Java sweet.
41,Java,zookeeper,11169,6942,Java,https://github.com/apache/zookeeper,apache,0,2023-03-26T17:17:50Z,Apache ZooKeeper
42,Java,arthas,32019,6915,Java,https://github.com/alibaba/arthas,alibaba,247,2023-03-22T07:14:02Z,Alibaba Java Diagnostic Tool Arthas/Alibaba Java诊断利器Arthas
43,Java,miaosha,25787,6658,Java,https://github.com/qiurunze123/miaosha,qiurunze123,1,2022-10-19T04:50:10Z,⭐⭐⭐⭐秒杀系统设计与实现.互联网工程师进阶与分析🙋🐓
44,Java,fastjson,25217,6515,Java,https://github.com/alibaba/fastjson,alibaba,1818,2023-03-19T12:57:40Z,"FASTJSON 2.0.x has been released, faster and more secure, recommend you upgrade."
45,Java,my-app,80,6603,Java,https://github.com/javahometech/my-app,javahometech,1,2023-03-08T13:16:59Z,
46,Java,libgdx,21269,6395,Java,https://github.com/libgdx/libgdx,libgdx,210,2023-03-27T09:15:56Z,Desktop/Android/HTML5/iOS Java game development framework
