rank,repo_name,forks,stars,language,repo_url,description,id,last_commit
811,Music-Player,722,3494,Java,https://github.com/andremion/Music-Player,From UI Proposal to Code :notes::arrow_forward:,MDEwOlJlcG9zaXRvcnk1ODIzNjk0NQ==,2018-12-02T04:16:31Z
812,mall4j,941,3494,Java,https://github.com/gz-yami/mall4j,⭐️⭐️⭐️ 电商商城 java电商商城系统 PC商城 H5商城 APP商城 Java商城 O2O商城,MDEwOlJlcG9zaXRvcnkxOTUxODQwNTg=,2023-03-27T09:58:50Z
813,austin,911,3494,Java,https://github.com/ZhongFuCheng3y/austin,消息推送平台:fire:推送下发【邮件】【短信】【微信服务号】【微信小程序】【企业微信】【钉钉】等消息类型。,R_kgDOGVgeTA,2023-03-27T13:20:22Z
814,GeekNews,840,3490,Java,https://github.com/codeestX/GeekNews,:books:A pure reading App based on Material Design + MVP + RxJava2 + Retrofit + Dagger2 + Realm + Glide,MDEwOlJlcG9zaXRvcnk2NTEzODg1Ng==,2018-08-25T11:26:10Z
815,groupie,282,3484,Java,https://github.com/lisawray/groupie,Groupie helps you display and manage complex RecyclerView layouts.,MDEwOlJlcG9zaXRvcnk2NzE2NTkwNA==,2022-12-06T16:12:38Z
816,Terasology,1315,3481,Java,https://github.com/MovingBlocks/Terasology,Terasology - open source voxel world,MDEwOlJlcG9zaXRvcnkxNDM4MDA3,2023-02-15T23:26:07Z
817,mini-spring,867,3479,Java,https://github.com/DerekYRC/mini-spring,mini-spring是简化版的spring框架，能帮助你快速熟悉spring源码和掌握spring的核心原理。抽取了spring的核心逻辑，代码极度简化，保留spring的核心功能，如IoC和AOP、资源加载器、事件监听器、类型转换、容器扩展点、bean生命周期和作用域、应用上下文等核心功能。 ,MDEwOlJlcG9zaXRvcnkzMTM2MDUzOTg=,2023-03-13T01:19:43Z
818,databus,732,3479,Java,https://github.com/linkedin/databus,Source-agnostic distributed change data capture system,MDEwOlJlcG9zaXRvcnk3MjA5MjI5,2020-05-07T04:26:00Z
819,MifareClassicTool,809,3478,Java,https://github.com/ikarus23/MifareClassicTool,"An Android NFC app for reading, writing, analyzing, etc. MIFARE Classic RFID tags.",MDEwOlJlcG9zaXRvcnk4MTYxNDYx,2023-03-21T20:52:14Z
820,netty-learning,1194,3475,Java,https://github.com/code4craft/netty-learning,Netty learning.,MDEwOlJlcG9zaXRvcnkxMjkzOTIwMA==,2017-02-07T08:39:36Z
821,AppUpdate,748,3472,Java,https://github.com/WVector/AppUpdate,🚀   Android 版本更新 🚀   a  library for android version update  🚀 ,MDEwOlJlcG9zaXRvcnk5NDc2MDc5OA==,2021-01-19T15:33:36Z
822,light-4j,606,3472,Java,https://github.com/networknt/light-4j,"A fast, lightweight and more productive microservices framework",MDEwOlJlcG9zaXRvcnk2NzgzNjYzNw==,2023-03-27T15:06:19Z
823,SeeWeather,742,3466,Java,https://github.com/xcc3641/SeeWeather,:partly_sunny: [@Deprecated]RxJava+RxBus+Retrofit+Glide+Material Design Weather App,MDEwOlJlcG9zaXRvcnk1MjE1MzkwNg==,2020-03-03T03:22:09Z
824,kylin,1527,3458,Java,https://github.com/apache/kylin,Apache Kylin,MDEwOlJlcG9zaXRvcnkyODczODQ0Nw==,2023-03-28T10:32:35Z
825,openhab1-addons,1750,3449,Java,https://github.com/openhab/openhab1-addons,Add-ons for openHAB 1.x,MDEwOlJlcG9zaXRvcnkxMjk4MzE1MQ==,2021-01-18T20:08:08Z
826,lilishop,952,3445,Java,https://github.com/lilishop/lilishop,商城 JAVA电商商城 多语言商城  uniapp商城  微服务商城 ,MDEwOlJlcG9zaXRvcnkzNjcyMTc0NjE=,2023-03-27T07:24:32Z
827,java-eight-part,720,3440,Java,https://github.com/CoderLeixiaoshuai/java-eight-part,『Java八股文』Java面试套路，Java进阶学习，打破内卷拿大厂Offer，升职加薪！,MDEwOlJlcG9zaXRvcnkzMDQ2ODEyOTc=,2023-02-19T11:01:44Z
828,android-maps-utils,1549,3436,Java,https://github.com/googlemaps/android-maps-utils,Maps SDK for Android Utility Library,MDEwOlJlcG9zaXRvcnkxMDExMzAzMA==,2023-03-07T04:48:25Z
829,data-transfer-project,446,3429,Java,https://github.com/google/data-transfer-project,"The Data Transfer Project makes it easy for people to transfer their data between online service providers. We are establishing a common framework, including data models and protocols, to enable direct transfer of data both into and out of participating online service providers.",MDEwOlJlcG9zaXRvcnkxMTYzMDkzMDg=,2023-03-27T18:12:26Z
830,Linkage-RecyclerView,446,3429,Java,https://github.com/KunMinX/Linkage-RecyclerView,即使不用饿了么订餐，也请务必收藏好该库！🔥  一行代码即可接入，二级联动订餐列表。,MDEwOlJlcG9zaXRvcnkxODI2MjM4NjU=,2023-03-17T14:54:03Z
831,giffun,694,3426,Java,https://github.com/guolindev/giffun,一款开源的GIF在线分享App，乐趣就要和世界分享。,MDEwOlJlcG9zaXRvcnkxNjc5MDI0OTE=,2021-01-29T13:47:14Z
832,SSM,1366,3420,Java,https://github.com/crossoverJie/SSM,:two_hearts: build SSM from 0 👉🏽👉🏽  distributed micro service.,MDEwOlJlcG9zaXRvcnk2MTYyMzcwMA==,2018-07-02T14:32:39Z
833,android-priority-jobqueue,403,3409,Java,https://github.com/yigit/android-priority-jobqueue,"A Job Queue specifically written for Android to easily schedule jobs (tasks) that run in the background, improving UX and application stability.",MDEwOlJlcG9zaXRvcnkyMTAxOTc5Nw==,2022-10-22T00:16:33Z
834,android-butterknife-zelezny,423,3404,Java,https://github.com/avast/android-butterknife-zelezny,Android Studio plug-in for generating ButterKnife injections from selected layout XML.,MDEwOlJlcG9zaXRvcnkxNTM5NzA4NQ==,2018-02-26T08:49:44Z
835,vertx-examples,2084,3393,Java,https://github.com/vert-x3/vertx-examples,Vert.x examples,MDEwOlJlcG9zaXRvcnkzMTI3Mjg2MA==,2023-03-24T08:04:55Z
836,AlgoDS,671,3391,Java,https://github.com/sherxon/AlgoDS,"Implementation of Algorithms and Data Structures, Problems and Solutions",MDEwOlJlcG9zaXRvcnk3NjY3MDczNA==,2022-11-04T22:19:30Z
837,Android-Week-View,1229,3388,Java,https://github.com/alamkanak/Android-Week-View,Android Week View is an android library to display calendars (week view or day view) within the app. It supports custom styling.,MDEwOlJlcG9zaXRvcnkyNDEzOTU5Mw==,2021-11-20T06:01:14Z
838,BottomNavigationViewEx,556,3369,Java,https://github.com/ittianyu/BottomNavigationViewEx,An android lib for enhancing BottomNavigationView. 一个增强BottomNavigationView的安卓库。,MDEwOlJlcG9zaXRvcnk3MzU0MTU0OQ==,2022-08-30T19:24:16Z
839,typedb,334,3365,Java,https://github.com/vaticle/typedb,TypeDB: a strongly-typed database,MDEwOlJlcG9zaXRvcnk2MzExMDg2Nw==,2023-03-28T12:08:40Z
840,awaitility,221,3365,Java,https://github.com/awaitility/awaitility,Awaitility is a small Java DSL for synchronizing asynchronous operations,MDEwOlJlcG9zaXRvcnk0ODM5MjQ=,2023-03-20T02:59:29Z
841,jmonkeyengine,1095,3362,Java,https://github.com/jMonkeyEngine/jmonkeyengine,A complete 3-D game development suite written in Java.,MDEwOlJlcG9zaXRvcnkxNzk2MDc0Ng==,2023-03-23T04:55:57Z
842,Android,3429,3360,Java,https://github.com/hmkcode/Android,Android related examples,MDEwOlJlcG9zaXRvcnkxMjU0NDA5Mw==,2022-11-28T22:39:59Z
